serial_no,joining_date,job_title,required_experience,Salary,Industary_Sector,Demanding_Of_the_Job,Overall_Satisfication,Working_model,Considering_Job_Switching_in_Future,Main_Reasons
219,01/02/2022,Software Developer (Backend),Fresh graduate,12000,Technology,Not Sure,Neutral,On Site,Yes,Better salary/benefits
220,01/02/2023,Software Developer (Backend),More than 3 years,75000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
221,01/02/2023,Software Developer (Backend),More than 3 years,75000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
222,01/02/2022,Software Developer (Backend),More than 7 years,145000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
223,01/02/2021,Software Engineer (Backend),More than 2 years,140000,Technology,Not Sure,Satisfied,On Site,No,I am happy with my work role
224,01/02/2022,Technical Project Manager,More than 5 years,140000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
225,01/02/2023,Database Administrator (DBA),More than 5 years,190000,Technology,Increasing,Neutral,On Site,No,I am happy with my work role
226,01/02/2022,Full Stack Developer,Less than 2 years,60000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
227,01/02/2021,Software Developer (Frontend),Less than 2 years,60000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
228,01/02/2022,Software Engineer,More than 2 years,100000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
229,01/02/2022,Software Developer (Backend),Less than 2 years,42500,Technology,Not Sure,Satisfied,On Site,No,I am happy with my work role
230,01/02/2023,Software Developer (Frontend),More than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
231,01/02/2020,Software Developer (Frontend),Less than 2 years,30000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
232,01/02/2021,Digital Marketing,More than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
233,01/02/2022,Senior Software Developer (Backend),More than 4 years,150000,Financial,Increasing,Satisfied,Remote,No,I am happy with my work role
234,01/02/2023,Web Developer,More than 2 years,30000,Technology,Stable,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
235,01/02/2020,Technical Project Manager,More than 4 years,70000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
236,01/02/2021,Junior Software Developer (Backend),Fresh graduate,15000,Technology,Not Sure,Neutral,On Site,Yes,Better salary/benefits
237,01/02/2022,Technical Project Manager,Fresh graduate,20000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
238,01/02/2024,Graphic Designer,Less than 2 years,60000,Technology,Stable,Satisfied,On Site,No,I am happy with my work role
239,01/02/2021,Software Developer (Backend),Fresh graduate,5000,Technology,Increasing,Dissatisfied,Remote,Yes,"Career Development, Salary and Benefits"
240,01/02/2022,Software Developer (Backend),More than 2 years,60000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
241,01/02/2023,Senior Software Engineer (Frontend),More than 3 years,70000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
242,02/01/2023,Software Quality Assurance Engineer,Less than 2 years,50000,E-Commerce,Increasing,Satisfied,On Site,Yes,Better salary/benefits
243,01/02/2022,Software Developer (Frontend),More than 2 years,80000,Digital Marketing,Increasing,Satisfied,On Site,Yes,Better salary/benefits
244,01/02/2024,Software Quality Assurance Engineer,Fresh graduate,7000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
245,01/02/2023,Software Developer (Backend),More than 3 years,80000,Finance,Increasing,Satisfied,On Site,No,I am happy with my work role
246,02/01/2022,Software Developer (Frontend),More than 3 years,26000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
247,01/02/2023,Full Stack Developer,Less than 2 years,75000,E-commerce,Increasing,Satisfied,Remote,Yes,Better salary/benefits
248,01/02/2022,Full Stack Developer,More than 5 years,110000,E-commerce,Increasing,Satisfied,Remote,Yes,Better salary/benefits
